"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17378440",1.33565088655882,8.69041807229813,12.5424470585482,6.23992350335527e-09,3.16165389921918e-07,10.8145316155655
"17289085",-1.20435902348443,7.17455466792032,-12.5361490897144,6.28003361721053e-09,3.16165389921918e-07,10.8078917364805
"17441051",1.98496649752143,8.93312311300344,12.4958103252227,6.543551232555e-09,3.26283747618478e-07,10.7652924483306
"17272913",-1.64292555693677,7.72700698270369,-12.4888887659561,6.58994048770421e-09,3.26283747618478e-07,10.7579707186865
"17239227",1.06452118645208,7.78140668602581,12.4398107356621,6.92909980872326e-09,3.40264237328369e-07,10.7059515423934
"17211004",1.68957962933876,7.52108054157943,12.4075629930216,7.16205399164554e-09,3.48844434666247e-07,10.6716719709767
"17434023",2.17327715226626,9.58365526636585,12.3821825667736,7.35127051620523e-09,3.55173077924077e-07,10.6446368027604
"17401846",-1.22521503614073,7.93078415225187,-12.3660577311634,7.47424888452441e-09,3.56049245279488e-07,10.6274351529185
"17338364",1.73491521426954,6.38035893774943,12.3642377311559,7.48826655069529e-09,3.56049245279488e-07,10.6254923664157
"17507637",-1.71056127335036,7.52240234384299,-12.3468697410896,7.62345412618519e-09,3.57316122195829e-07,10.606939899817
"17340220",1.2065755023818,6.9927520034925,12.3455039060802,7.63419523302723e-09,3.57316122195829e-07,10.6054799372685
"17441037",1.4104546055899,9.38374565446138,12.319290382137,7.84349978025609e-09,3.64266722352823e-07,10.577432174249
"17329454",1.14916711826991,6.20044806186554,12.2795531424324,8.17253864027498e-09,3.7662829995298e-07,10.5348136738798
"17269921",-1.43881578176062,6.0037373648039,-12.1791496402065,9.07128653805704e-09,4.14855554576334e-07,10.4265858390109
"17539303",-1.06744791710914,7.57350429669885,-12.1460641635579,9.39007760307413e-09,4.26181476666796e-07,10.3907500543492
"17270082",-1.05680247294654,7.1914905601694,-12.1100597262737,9.75061356956863e-09,4.39217487934479e-07,10.3516551533531
"17302141",1.11161257781412,8.55368780087818,12.0875666638633,9.98332024090597e-09,4.46343817636326e-07,10.3271796230689
"17409075",1.89490295086004,8.65295966007904,12.0700753952354,1.01683705946265e-08,4.51249690610427e-07,10.3081191350518
"17317115",-1.13195830774497,4.81876436650573,-12.025563712098,1.06559793139341e-08,4.69000437464013e-07,10.2595048630895
"17525578",-1.21018886257461,9.02710891830554,-12.0194451687389,1.07249307181722e-08,4.69000437464013e-07,10.2528100857079
"17379938",1.78044798631041,8.85047400614971,11.9832660950269,1.11424849227431e-08,4.83729182406911e-07,10.2131627864743
"17210953",1.34845053284267,5.60732509755752,11.9386576443204,1.1681325326607e-08,5.02084674462669e-07,10.1641340437835
"17509139",-1.45806326670263,5.72868235975035,-11.934502821977,1.17329084334458e-08,5.02084674462669e-07,10.159559393783
"17358544",2.11650801537194,8.25430205586803,11.9217970505239,1.18921658735408e-08,5.05290537222576e-07,10.1455611474163
"17279131",1.21227067102132,10.121857516352,11.9081643302181,1.20656077854051e-08,5.09049691847618e-07,10.1305272128663
"17449718",2.7467056503955,10.0268981186363,11.8642637800283,1.26426968301065e-08,5.2966710985432e-07,10.0820125236697
"17452853",1.0065056830146,7.79662266523494,11.8411766380624,1.29579279699844e-08,5.39103794917893e-07,10.0564362302894
"17230045",1.86423145751128,9.65860567523583,11.7966741658278,1.3589447857003e-08,5.60310333679588e-07,10.0070134356433
"17487855",1.19067093810323,7.46536754225263,11.7922020695835,1.36547001697913e-08,5.60310333679588e-07,10.0020379636043
"17396162",1.32505540740915,7.79029675356699,11.7849608275445,1.37610662216863e-08,5.60833658055255e-07,9.99397818772588
"17508523",1.93011932050793,7.71246009261089,11.7435288687245,1.43868852366821e-08,5.82377226033531e-07,9.94778029722775
"17266967",1.32793522885897,12.4676953388658,11.7274726649544,1.46375050668072e-08,5.85400667615508e-07,9.92983926044213
