"","none.1","none.2","none.3","saprophyte.1","saprophyte.2","saprophyte.3","attenuated.1","attenuated.2","attenuated.3","virulent.1","virulent.2","virulent.3"
"17439326",3.84212649865446,3.836735604184,3.87875637586409,3.82729779288985,4.12546671757943,3.88498825534849,4.15717401671402,4.21476603157346,4.33755385698473,4.18112609028899,3.9566085997335,3.93542273134309
"17288035",4.06031107795612,4.43577561598788,3.75843064513643,3.8567367310686,3.70246583033448,3.46633635803933,3.56877466613903,3.46113935609697,3.25714612458921,3.64387702668838,2.99263081862714,3.31566062815656
"17318100",3.66330792485617,4.36404048709952,3.89111907599214,4.09003360771447,3.76600486898211,3.95676988080686,4.43118567931202,4.23645985895208,4.39689798460952,4.41148691303101,4.44911628633929,4.47448649144374
"17444778",5.93620716961836,5.94748215017489,5.95803903834267,6.30726987139716,6.22544812598888,6.36025546321132,6.14764465078856,6.0982408221673,6.24087905275498,6.15418766700929,6.43098051588944,6.40544964177527
"17432770",6.90911908929654,6.851439527069,7.06181572467727,6.8533898818172,6.58051127116,6.49906035752551,7.00779183118352,6.53144106171136,6.50307728506289,6.75809804748536,6.41392522943345,6.40293460426763
"17499732",4.06441943527965,4.46403662416879,4.39223142749342,4.30509905353974,4.22575766686,4.58436268409408,4.5567289877451,4.59937504706986,4.38555714296121,4.53035777119261,4.58066549043072,4.61833992103746
"17450937",5.78747737192033,5.84390081405963,5.7822867892786,5.37839276312256,4.93587132092152,4.63710933351135,4.40670525037076,4.39335005075386,4.39659366710662,4.92044740573867,4.99318250279541,3.92473060418006
"17499748",4.38001029446274,4.24784029498432,4.29158675313174,4.02703321378503,3.97201157131996,3.88083493728401,4.30738735756288,4.23218237465767,3.77944443678099,3.93574016096873,4.02677634811353,3.92221810486043
"17499753",5.85219844354685,6.11143503569376,5.62066393231336,6.32185436996075,5.89847506324452,5.6256352621357,5.86260000693385,5.74424193541187,5.70258442625856,5.84014912591855,5.98879372503274,6.05641198973095
"17499796",6.57311833342037,6.21822210503743,6.53698068468087,6.42861183631447,6.46190332706104,6.17155021584115,6.3935588649307,6.51728876451086,6.62924667140272,6.5038295519366,6.55249671361769,5.92171316359261
"17300139",4.44670140095486,4.54343897580348,4.64034597664531,4.70110399361142,4.67591258937447,4.89250432384428,4.62766251224092,4.98234708009724,5.04892959748796,4.18479942182152,4.85186388027408,4.93256981901323
"17536861",5.52609829850495,5.5366337950015,5.52203651529405,5.25318057940415,5.42776749319521,5.37189365342283,5.14986253987713,5.23978466831203,5.29123077795396,5.0750704686632,5.02660451179749,5.09862029509104
"17399858",3.8649294645759,3.96183867339162,4.23840487116507,4.46020703761966,4.39553068607421,4.25098908917504,4.54567037843958,5.03404398085637,4.36788880194449,4.69061078807026,4.68492740584883,4.44996643858944
"17486261",3.88247008322114,4.46231513655245,4.19135989062631,4.72509120607284,4.89326093936765,4.45550179116975,4.28979722118799,4.65318041141137,4.92011732709007,4.63279044431603,4.71841614126965,4.65114578429835
"17540325",7.26593354175604,7.11437773282502,6.71958110418775,8.13389419636678,7.37618591011569,7.72006715546955,7.7846968242259,7.51122721628751,7.227659786734,8.11829854424391,7.28526310217404,7.35982094545871
"17274770",3.50505306064325,3.6577160837152,3.52493426005868,3.86267947740041,3.87528702232857,3.66126531604949,4.04076399457058,3.69780245997432,4.16314938194051,3.58342110963919,4.06800921551631,3.97379601402147
"17308669",5.73513319540903,5.37279877250629,5.78123392507633,5.80536195014304,5.49304240883862,5.79410711894417,5.79186261332712,5.44276163291277,5.81547834654371,5.74638726736625,5.59204391376848,5.72325117622264
"17473941",2.9833990761842,2.91384502141,2.89823509168403,3.24278329629797,2.95426760394811,3.05877886516851,3.14418699457796,3.0382620353949,3.02831824423839,3.25104163497826,3.31230544266358,3.26699775262405
"17246451",4.68364026865285,4.74386577341298,4.80500784799387,4.86925304047429,4.3987227797117,4.9066212447932,4.75345392143562,4.44401154186092,4.67781198682931,4.83767826446303,4.41385244725124,4.78731465509915
"17299910",5.41596739415495,5.483219798282,5.26869071478211,5.6404326111513,5.68443233055025,5.68879080817957,5.93593365529977,5.84044096747392,5.84248544739821,5.88866622616936,5.96982654329065,5.95728062801226
"17374610",6.77817152841891,6.21884824662822,6.3990254430271,6.73747467323464,6.62835780384868,6.34729248979081,6.45404308703883,6.3009378479827,6.11076188115148,6.32521694530719,6.17782831943497,5.94731342575752
"17300173",5.86826075511035,5.42575907066994,5.91128343179725,6.03217255750521,5.23422576759574,5.85459049460865,5.8432081233549,5.45978097947958,5.63495032886495,5.90013329624864,5.63486914780264,5.61989296230273
"17314512",4.42834074900261,4.38453334657669,4.49198270793316,4.31403100376418,4.16765230325797,4.45834471635937,4.60608107466244,4.11538204590189,4.16697790782458,4.27656651541749,4.21802350420693,4.30128607757996
